{'loss': 1.6404, 'learning_rate': 3.636151592846985e-05, 'epoch': 0.59}
{'loss': 2.3356, 'learning_rate': 3.560383454344168e-05, 'epoch': 0.59}
{'loss': 1.5923, 'learning_rate': 3.484974098465636e-05, 'epoch': 0.6}
{'loss': 1.5541, 'learning_rate': 3.409942318803809e-05, 'epoch': 0.6}
{'loss': 1.1024, 'learning_rate': 3.335306814851196e-05, 'epoch': 0.61}
{'loss': 1.3478, 'learning_rate': 3.261086187340088e-05, 'epoch': 0.61}
{'loss': 1.3255, 'learning_rate': 3.187298933606878e-05, 'epoch': 0.62}
{'loss': 1.1345, 'learning_rate': 3.11396344298212e-05, 'epoch': 0.62}
{'loss': 1.1155, 'learning_rate': 3.0410979922075343e-05, 'epoch': 0.63}
{'loss': 1.0838, 'learning_rate': 2.9687207408810557e-05, 'epoch': 0.64}
{'loss': 1.4514, 'learning_rate': 2.8968497269310803e-05, 'epoch': 0.64}
{'loss': 1.272, 'learning_rate': 2.8255028621210355e-05, 'epoch': 0.65}
{'loss': 1.3399, 'learning_rate': 2.754697927585399e-05, 'epoch': 0.65}
{'loss': 1.2964, 'learning_rate': 2.6844525693982613e-05, 'epoch': 0.66}
{'loss': 1.4079, 'learning_rate': 2.614784294175554e-05, 'epoch': 0.66}
{'loss': 1.3723, 'learning_rate': 2.5457104647120322e-05, 'epoch': 0.67}
{'loss': 0.9286, 'learning_rate': 2.4772482956541132e-05, 'epoch': 0.67}
{'loss': 1.7281, 'learning_rate': 2.4094148492096125e-05, 'epoch': 0.68}
{'loss': 0.6054, 'learning_rate': 2.3422270308954934e-05, 'epoch': 0.68}
{'loss': 0.6698, 'learning_rate': 2.2757015853246493e-05, 'epoch': 0.69}
{'loss': 0.4617, 'learning_rate': 2.2098550920327998e-05, 'epoch': 0.69}
{'loss': 0.8571, 'learning_rate': 2.1447039613465265e-05, 'epoch': 0.69}
{'loss': 1.3279, 'learning_rate': 2.0802644302934683e-05, 'epoch': 0.7}
{'loss': 1.3141, 'learning_rate': 2.0165525585557204e-05, 'epoch': 0.7}
{'loss': 2.0045, 'learning_rate': 1.953584224467418e-05, 'epoch': 0.71}
{'loss': 2.0809, 'learning_rate': 1.8913751210575248e-05, 'epoch': 0.71}
{'loss': 1.4568, 'learning_rate': 1.8299407521388067e-05, 'epoch': 0.72}
{'loss': 1.1873, 'learning_rate': 1.7692964284439505e-05, 'epoch': 0.72}
{'loss': 1.3557, 'learning_rate': 1.7094572638098123e-05, 'epoch': 0.73}
{'loss': 1.3952, 'learning_rate': 1.6504381714107252e-05, 'epoch': 0.73}
{'loss': 1.2492, 'learning_rate': 1.5922538600418318e-05, 'epoch': 0.74}
{'loss': 1.4057, 'learning_rate': 1.5349188304533413e-05, 'epoch': 0.74}
{'loss': 1.2762, 'learning_rate': 1.4784473717366387e-05, 'epoch': 0.75}
{'loss': 1.3893, 'learning_rate': 1.4228535577631442e-05, 'epoch': 0.76}
{'loss': 1.5134, 'learning_rate': 1.3681512436768045e-05, 'epoch': 0.76}
{'loss': 1.2063, 'learning_rate': 1.314354062441106e-05, 'epoch': 0.77}
{'loss': 1.7825, 'learning_rate': 1.2614754214414548e-05, 'epoch': 0.77}
{'loss': 1.8087, 'learning_rate': 1.2095284991437733e-05, 'epoch': 0.78}
{'loss': 1.307, 'learning_rate': 1.1585262418101467e-05, 'epoch': 0.78}
{'loss': 1.4483, 'learning_rate': 1.1084813602723515e-05, 'epoch': 0.79}
{'loss': 0.9425, 'learning_rate': 1.0594063267640386e-05, 'epoch': 0.79}
{'loss': 0.9066, 'learning_rate': 1.0113133718124035e-05, 'epoch': 0.8}
{'loss': 1.8985, 'learning_rate': 9.642144811900739e-06, 'epoch': 0.8}
{'loss': 1.2953, 'learning_rate': 9.181213929280046e-06, 'epoch': 0.81}
{'loss': 1.4691, 'learning_rate': 8.7304559439012e-06, 'epoch': 0.81}
{'loss': 1.4898, 'learning_rate': 8.28998319410413e-06, 'epoch': 0.81}
{'loss': 1.2736, 'learning_rate': 7.859905454932471e-06, 'epoch': 0.82}
{'loss': 1.1422, 'learning_rate': 7.440329910775273e-06, 'epoch': 0.82}
{'loss': 1.5653, 'learning_rate': 7.031361128654401e-06, 'epoch': 0.83}
{'loss': 1.0477, 'learning_rate': 6.633101032164274e-06, 'epoch': 0.83}
{'loss': 1.102, 'learning_rate': 6.2456488760703205e-06, 'epoch': 0.84}
{'loss': 1.4461, 'learning_rate': 5.869101221572654e-06, 'epoch': 0.84}
{'loss': 1.357, 'learning_rate': 5.5035519122409895e-06, 'epoch': 0.85}
{'loss': 0.8341, 'learning_rate': 5.149092050626825e-06, 'epoch': 0.85}
{'loss': 1.0984, 'learning_rate': 4.805809975558828e-06, 'epoch': 0.86}
{'loss': 0.9115, 'learning_rate': 4.47379124012689e-06, 'epoch': 0.86}
{'loss': 1.2819, 'learning_rate': 4.153118590360561e-06, 'epoch': 0.87}
{'loss': 1.573, 'learning_rate': 3.843871944606969e-06, 'epoch': 0.88}
{'loss': 1.2126, 'learning_rate': 3.5461283736134722e-06, 'epoch': 0.88}
{'loss': 1.1923, 'learning_rate': 3.2599620813200837e-06, 'epoch': 0.89}
{'loss': 1.283, 'learning_rate': 2.9854443863662262e-06, 'epoch': 0.89}
{'loss': 1.2448, 'learning_rate': 2.722643704316652e-06, 'epoch': 0.9}
{'loss': 1.1347, 'learning_rate': 2.4716255306108605e-06, 'epoch': 0.9}
{'loss': 1.1723, 'learning_rate': 2.2324524242402613e-06, 'epoch': 0.91}
{'loss': 1.5152, 'learning_rate': 2.0051839921571448e-06, 'epoch': 0.91}
{'loss': 0.9533, 'learning_rate': 1.7898768744194162e-06, 'epoch': 0.92}
{'loss': 0.9463, 'learning_rate': 1.5865847300746417e-06, 'epoch': 0.92}
{'loss': 0.9938, 'learning_rate': 1.3953582237871521e-06, 'epoch': 0.93}
{'loss': 1.3147, 'learning_rate': 1.2162450132113201e-06, 'epoch': 0.93}
{'loss': 0.8714, 'learning_rate': 1.049289737114273e-06, 'epoch': 0.94}
{'loss': 1.1383, 'learning_rate': 8.945340042509797e-07, 'epoch': 0.94}
{'loss': 1.0176, 'learning_rate': 7.520163829944804e-07, 'epoch': 0.94}
{'loss': 1.1662, 'learning_rate': 6.217723917238128e-07, 'epoch': 0.95}
{'loss': 0.9201, 'learning_rate': 5.038344899721436e-07, 'epoch': 0.95}
{'loss': 0.8776, 'learning_rate': 3.9823207033710676e-07, 'epoch': 0.96}
{'loss': 1.1749, 'learning_rate': 3.0499145115561176e-07, 'epoch': 0.96}
{'loss': 1.3497, 'learning_rate': 2.2413586994470825e-07, 'epoch': 0.97}
{'loss': 1.1142, 'learning_rate': 1.5568547761034004e-07, 'epoch': 0.97}
{'loss': 1.0811, 'learning_rate': 9.965733342532924e-08, 'epoch': 0.98}
{'loss': 0.776, 'learning_rate': 5.606540077782163e-08, 'epoch': 0.98}
{'loss': 1.0341, 'learning_rate': 2.4920543691309138e-08, 'epoch': 0.99}
{'loss': 1.3629, 'learning_rate': 6.2305241171345395e-09, 'epoch': 0.99}
{'loss': 1.7135, 'learning_rate': 0.0, 'epoch': 1.0}
